record.timestamp[s],record.heart_rate[bpm],record.cadence[rpm],record.distance[m],record.speed[m/s],record.power[watts],record.enhanced_speed[m/s],
"988241857","87","0","4.0","2.016","23","2.016",
"988241858","88","0","7.0","2.016","23","2.016",
"988241859","89","54","10.99","2.923","70","2.923",
"988241861","90","23","17.0","2.923","70","2.923",
"988241864","91","23","25.0","2.793","61","2.793",
"988241868","92","21","35.0","3.225","94","3.225",
"988241869","93","23","42.99","3.225","94","3.225",
"988241872","95","24","51.99","3.311","102","3.311",
"988241874","96","24","61.99","3.378","108","3.378",
"988241877","98","24","70.99","3.424","112","3.424",
"988241879","99","24","74.99","3.472","117","3.472",
"988241881","99","24","83.0","3.546","125","3.546",
"988241884","101","25","95.0","3.597","130","3.597",
"988241886","101","25","99.0","3.597","130","3.597",
"988241890","103","26","116.0","3.623","133","3.623",
"988241891","104","25","119.99","3.597","130","3.597",
"988241894","105","25","128.0","3.496","120","3.496",
"988241896","105","24","136.0","3.472","117","3.472",
"988241898","106","24","143.99","3.472","117","3.472",
"988241902","107","22","155.99","3.424","112","3.424",
"988241905","107","22","168.0","3.731","145","3.731",
"988241908","107","92","174.99","3.731","145","3.731",
"988241911","108","20","187.0","3.401","110","3.401",
"988241913","108","20","195.0","3.401","110","3.401",
"988241917","109","20","206.99","3.424","112","3.424",
"988241919","110","20","215.99","3.424","112","3.424",
"988241923","111","20","227.0","3.472","117","3.472",
"988241926","111","20","239.99","3.546","125","3.546",
"988241930","111","21","247.99","3.597","130","3.597",
"988241931","112","21","257.0","3.597","130","3.597",
"988241934","112","22","270.0","3.649","136","3.649",
"988241936","113","22","278.0","3.649","136","3.649",
"988241940","113","19","289.99","3.472","117","3.472",
"988241943","114","19","301.99","3.472","117","3.472",
"988241946","114","19","312.99","3.472","117","3.472",
"988241958","113","58","331.0","2.136","27","2.136",
"988241960","112","21","337.0","2.136","27","2.136",
"988241962","112","21","343.99","2.415","39","2.415",
"988241966","111","23","353.99","3.164","89","3.164",
"988241968","110","23","361.99","3.164","89","3.164",
"988241971","110","23","371.0","3.472","117","3.472",
"988241973","110","23","380.0","3.546","125","3.546",
"988241975","110","23","391.0","3.597","130","3.597",
"988241979","111","25","401.0","3.846","159","3.846",
"988241981","112","25","411.99","3.875","163","3.875",
"988241983","113","25","420.99","3.846","159","3.846",
"988241986","114","26","427.99","3.875","163","3.875",
"988241988","115","26","435.99","3.906","167","3.906",
"988241990","115","27","446.0","3.937","171","3.937",
"988241992","116","27","455.0","3.937","171","3.937",
"988241994","116","27","459.0","3.937","171","3.937",
"988241996","117","28","468.0","3.906","167","3.906",
"988241998","118","28","476.99","3.937","171","3.937",
"988242001","119","28","490.99","3.937","171","3.937",
"988242003","119","28","495.99","3.937","171","3.937",
"988242004","120","28","499.99","3.937","171","3.937",
"988242004","118","28","499.99","3.937","171","3.937",
"988242004","117","28","499.99","3.937","171","3.937",
"988242004","116","28","499.99","3.937","171","3.937",
"988242004","113","28","499.99","3.937","171","3.937",
"988242004","112","28","499.99","3.937","171","3.937",
"988242004","111","28","499.99","3.937","171","3.937",
"988242004","109","28","499.99","3.937","171","3.937",
"988242004","109","28","499.99","3.937","171","3.937",
"988242004","108","28","499.99","3.937","171","3.937",
"988242004","108","28","499.99","3.937","171","3.937",
"988242004","108","28","499.99","3.937","171","3.937",
"988242004","108","28","499.99","3.937","171","3.937",
"988242065","104","0","499.99","0.0","0","0.0",
"988242066","104","0","502.99","3.205","92","3.205",
"988242068","105","27","512.0","3.703","142","3.703",
"988242070","106","27","517.0","3.703","142","3.703",
"988242072","107","33","526.0","4.504","256","4.504",
"988242074","108","30","537.0","4.424","243","4.424",
"988242077","112","30","548.0","4.504","256","4.504",
"988242078","113","30","552.0","4.504","256","4.504",
"988242080","115","29","564.99","4.504","256","4.504",
"988242082","118","32","572.99","4.545","263","4.545",
"988242084","119","32","582.99","4.545","263","4.545",
"988242086","120","31","588.99","4.545","263","4.545",
"988242087","121","31","593.99","4.545","263","4.545",
"988242089","123","33","603.99","4.587","270","4.587",
"988242091","124","31","615.99","4.464","249","4.464",
"988242093","124","31","619.99","4.464","249","4.464",
"988242095","126","32","631.99","4.424","243","4.424",
"988242097","127","33","640.99","4.464","249","4.464",
"988242098","127","32","646.0","4.464","249","4.464",
"988242101","129","32","659.0","4.504","256","4.504",
"988242102","130","32","661.0","4.504","256","4.504",
"988242104","131","34","675.0","4.464","249","4.464",
"988242105","132","34","677.0","4.464","249","4.464",
"988242108","133","33","687.0","4.464","249","4.464",
"988242110","134","34","699.99","4.464","249","4.464",
"988242111","135","34","706.99","4.464","249","4.464",
"988242113","136","33","711.99","4.464","249","4.464",
"988242115","137","33","717.99","4.464","249","4.464",
"988242117","138","32","730.99","4.464","249","4.464",
"988242119","138","33","738.0","4.424","243","4.424",
"988242121","139","33","743.0","4.424","243","4.424",
"988242123","140","33","753.0","4.424","243","4.424",
"988242124","141","33","759.0","4.424","243","4.424",
"988242126","141","33","769.0","4.424","243","4.424",
"988242127","142","33","774.0","4.424","243","4.424",
"988242130","142","33","784.0","4.385","236","4.385",
"988242132","143","32","794.0","4.347","230","4.347",
"988242134","143","31","804.0","4.347","230","4.347",
"988242135","143","31","810.0","4.347","230","4.347",
"988242138","144","32","819.99","4.385","236","4.385",
"988242139","145","32","824.99","4.385","236","4.385",
"988242141","145","30","834.99","4.385","236","4.385",
"988242143","146","31","844.99","4.347","230","4.347",
"988242145","146","31","848.99","4.347","230","4.347",
"988242147","146","32","862.99","4.31","224","4.31",
"988242149","147","32","869.99","4.31","224","4.31",
"988242151","147","32","874.0","4.31","224","4.31",
"988242153","147","31","885.0","4.31","224","4.31",
"988242155","148","31","895.0","4.31","224","4.31",
"988242157","148","31","900.0","4.31","224","4.31",
"988242159","148","32","913.0","4.347","230","4.347",
"988242161","149","30","920.0","4.347","230","4.347",
"988242162","149","30","925.0","4.347","230","4.347",
"988242164","149","31","934.0","4.347","230","4.347",
"988242167","150","33","944.99","4.347","230","4.347",
"988242168","150","33","949.99","4.347","230","4.347",
"988242170","150","30","960.99","4.347","230","4.347",
"988242172","150","33","969.99","4.385","236","4.385",
"988242174","150","33","975.99","4.385","236","4.385",
"988242176","151","31","985.99","4.385","236","4.385",
"988242178","151","31","996.99","4.385","236","4.385",
"988242179","151","31","999.99","4.385","236","4.385",
